"","temp","rain_1h","snow_1h","clouds_all","traffic_volume","time","holiday","moderately_bad_weather","moderately_good_weather","good_weather"
"1",288.28,0,0,40,5545,9,0,0,1,0
"2",289.36,0,0,75,4516,10,0,0,1,0
"3",289.58,0,0,90,4767,11,0,0,1,0
"4",290.13,0,0,90,5026,12,0,0,1,0
"5",291.14,0,0,75,4918,13,0,0,1,0
"6",291.72,0,0,1,5181,14,0,0,0,1
"7",293.17,0,0,1,5584,15,0,0,0,1
"8",293.86,0,0,1,6015,16,0,0,0,1
"9",294.14,0,0,20,5791,17,0,0,1,0
"10",293.1,0,0,20,4770,18,0,0,1,0
"11",290.97,0,0,20,3539,19,0,0,1,0
"12",289.38,0,0,1,2784,20,0,0,0,1
"13",288.61,0,0,1,2361,21,0,0,0,1
"14",287.16,0,0,1,1529,22,0,0,0,1
"15",285.45,0,0,1,963,23,0,0,0,1
"16",284.63,0,0,1,506,0,0,0,0,1
"17",283.47,0,0,1,321,1,0,0,0,1
"18",281.18,0,0,1,273,2,0,0,0,1
"19",281.09,0,0,1,367,3,0,0,0,1
"20",279.53,0,0,1,814,4,0,0,0,1
"21",278.62,0,0,1,2718,5,0,0,0,1
"22",278.23,0,0,1,5673,6,0,0,0,1
"23",278.12,0,0,1,6511,8,0,0,0,1
"24",282.48,0,0,1,5471,9,0,0,0,1
"25",291.97,0,0,1,5097,12,0,0,0,1
"26",293.23,0,0,1,4887,13,0,0,0,1
"27",294.31,0,0,1,5337,14,0,0,0,1
"28",295.17,0,0,1,5692,15,0,0,0,1
"29",295.13,0,0,1,6137,16,0,0,0,1
"30",293.66,0,0,20,4623,18,0,0,1,0
"31",290.65,0,0,20,3591,19,0,0,1,0
"32",288.19,0,0,20,2898,20,0,0,1,0
"33",287.1,0,0,1,2637,21,0,0,0,1
"34",286.25,0,0,1,1777,22,0,0,0,1
"35",285.26,0,0,1,1015,23,0,0,0,1
"36",284.55,0,0,1,598,0,0,0,0,1
"37",283.47,0,0,1,369,1,0,0,0,1
"38",283.17,0,0,1,312,2,0,0,0,1
"39",282.04,0,0,1,367,3,0,0,0,1
"40",281.69,0,0,1,835,4,0,0,0,1
"41",281.32,0,0,1,2726,5,0,0,0,1
"42",280.74,0,0,1,5689,6,0,0,0,1
"43",280.57,0,0,1,6990,7,0,0,0,1
"44",281.86,0,0,1,5985,8,0,0,0,1
"45",284.98,0,0,1,5309,9,0,0,0,1
"46",289.18,0,0,1,4603,10,0,0,0,1
"47",291.55,0,0,1,4884,11,0,0,0,1
"48",294.97,0,0,1,5104,12,0,0,0,1
"49",296.38,0,0,1,5178,13,0,0,0,1
"50",297.32,0,0,1,5501,14,0,0,0,1
"51",298.17,0,0,1,5713,15,0,0,0,1
"52",298.06,0,0,20,6292,16,0,0,1,0
"53",297.67,0,0,20,6057,17,0,0,1,0
"54",296.36,0,0,40,4907,18,0,0,1,0
"55",293.85,0,0,40,3503,19,0,0,1,0
"56",292.43,0,0,40,3037,20,0,0,1,0
"57",291.77,0,0,75,2822,21,0,0,1,0
"58",291.36,0,0,75,1992,22,0,0,1,0
"59",291.12,0,0,75,1166,23,0,0,1,0
"60",290.63,0,0,75,627,0,0,0,1,0
"61",290.46,0,0,40,388,1,0,0,1,0
"62",289.26,0,0,0,368,3,0,0,0,1
"63",283.21,0,0,75,2489,5,0,0,1,0
"64",282.24,0,0,90,5537,6,0,0,1,0
"65",281.69,0,0,90,6628,7,0,0,1,0
"66",280.57,0,0,90,5534,8,0,0,1,0
"67",280.02,0,0,75,5403,9,0,0,1,0
"68",280.11,0,0,75,4770,10,0,0,1,0
"69",280,0,0,90,5217,11,0,0,1,0
"70",280.53,0,0,90,5870,12,0,0,1,0
