"","holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","traffic_volume","time","holiday_Yes","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Haze","weather_main_Mist","weather_main_Rain","weather_main_Smoke","weather_main_Snow","weather_main_Squall","weather_main_Thunderstorm"
"1","No",288.28,0,0,40,"Clouds",5545,9,0,1,0,0,0,0,0,0,0,0,0
"2","No",289.36,0,0,75,"Clouds",4516,10,0,1,0,0,0,0,0,0,0,0,0
"3","No",289.58,0,0,90,"Clouds",4767,11,0,1,0,0,0,0,0,0,0,0,0
"4","No",290.13,0,0,90,"Clouds",5026,12,0,1,0,0,0,0,0,0,0,0,0
"5","No",291.14,0,0,75,"Clouds",4918,13,0,1,0,0,0,0,0,0,0,0,0
"6","No",291.72,0,0,1,"Clear",5181,14,0,0,0,0,0,0,0,0,0,0,0
"7","No",293.17,0,0,1,"Clear",5584,15,0,0,0,0,0,0,0,0,0,0,0
"8","No",293.86,0,0,1,"Clear",6015,16,0,0,0,0,0,0,0,0,0,0,0
"9","No",294.14,0,0,20,"Clouds",5791,17,0,1,0,0,0,0,0,0,0,0,0
"10","No",293.1,0,0,20,"Clouds",4770,18,0,1,0,0,0,0,0,0,0,0,0
"11","No",290.97,0,0,20,"Clouds",3539,19,0,1,0,0,0,0,0,0,0,0,0
"12","No",289.38,0,0,1,"Clear",2784,20,0,0,0,0,0,0,0,0,0,0,0
"13","No",288.61,0,0,1,"Clear",2361,21,0,0,0,0,0,0,0,0,0,0,0
"14","No",287.16,0,0,1,"Clear",1529,22,0,0,0,0,0,0,0,0,0,0,0
"15","No",285.45,0,0,1,"Clear",963,23,0,0,0,0,0,0,0,0,0,0,0
"16","No",284.63,0,0,1,"Clear",506,0,0,0,0,0,0,0,0,0,0,0,0
"17","No",283.47,0,0,1,"Clear",321,1,0,0,0,0,0,0,0,0,0,0,0
"18","No",281.18,0,0,1,"Clear",273,2,0,0,0,0,0,0,0,0,0,0,0
"19","No",281.09,0,0,1,"Clear",367,3,0,0,0,0,0,0,0,0,0,0,0
"20","No",279.53,0,0,1,"Clear",814,4,0,0,0,0,0,0,0,0,0,0,0
"21","No",278.62,0,0,1,"Clear",2718,5,0,0,0,0,0,0,0,0,0,0,0
"22","No",278.23,0,0,1,"Clear",5673,6,0,0,0,0,0,0,0,0,0,0,0
"23","No",278.12,0,0,1,"Clear",6511,8,0,0,0,0,0,0,0,0,0,0,0
"24","No",282.48,0,0,1,"Clear",5471,9,0,0,0,0,0,0,0,0,0,0,0
"25","No",291.97,0,0,1,"Clear",5097,12,0,0,0,0,0,0,0,0,0,0,0
"26","No",293.23,0,0,1,"Clear",4887,13,0,0,0,0,0,0,0,0,0,0,0
"27","No",294.31,0,0,1,"Clear",5337,14,0,0,0,0,0,0,0,0,0,0,0
"28","No",295.17,0,0,1,"Clear",5692,15,0,0,0,0,0,0,0,0,0,0,0
"29","No",295.13,0,0,1,"Clear",6137,16,0,0,0,0,0,0,0,0,0,0,0
"30","No",293.66,0,0,20,"Clouds",4623,18,0,1,0,0,0,0,0,0,0,0,0
"31","No",290.65,0,0,20,"Clouds",3591,19,0,1,0,0,0,0,0,0,0,0,0
"32","No",288.19,0,0,20,"Clouds",2898,20,0,1,0,0,0,0,0,0,0,0,0
"33","No",287.1,0,0,1,"Clear",2637,21,0,0,0,0,0,0,0,0,0,0,0
"34","No",286.25,0,0,1,"Clear",1777,22,0,0,0,0,0,0,0,0,0,0,0
"35","No",285.26,0,0,1,"Clear",1015,23,0,0,0,0,0,0,0,0,0,0,0
"36","No",284.55,0,0,1,"Clear",598,0,0,0,0,0,0,0,0,0,0,0,0
"37","No",283.47,0,0,1,"Clear",369,1,0,0,0,0,0,0,0,0,0,0,0
"38","No",283.17,0,0,1,"Clear",312,2,0,0,0,0,0,0,0,0,0,0,0
"39","No",282.04,0,0,1,"Clear",367,3,0,0,0,0,0,0,0,0,0,0,0
"40","No",281.69,0,0,1,"Clear",835,4,0,0,0,0,0,0,0,0,0,0,0
"41","No",281.32,0,0,1,"Clear",2726,5,0,0,0,0,0,0,0,0,0,0,0
"42","No",280.74,0,0,1,"Clear",5689,6,0,0,0,0,0,0,0,0,0,0,0
"43","No",280.57,0,0,1,"Clear",6990,7,0,0,0,0,0,0,0,0,0,0,0
"44","No",281.86,0,0,1,"Clear",5985,8,0,0,0,0,0,0,0,0,0,0,0
"45","No",284.98,0,0,1,"Clear",5309,9,0,0,0,0,0,0,0,0,0,0,0
"46","No",289.18,0,0,1,"Clear",4603,10,0,0,0,0,0,0,0,0,0,0,0
"47","No",291.55,0,0,1,"Clear",4884,11,0,0,0,0,0,0,0,0,0,0,0
"48","No",294.97,0,0,1,"Clear",5104,12,0,0,0,0,0,0,0,0,0,0,0
